
--- 무선 수집 시작 (2026-07-11 20:50:13) ---
[2026-07-11 20:50:18] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도223
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도220
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도218
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도209
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도221
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도220
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도221
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도229
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도228
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도220
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도209
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도223
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도223
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도205
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도197
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도211
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도223
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도222
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도212
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
